"Id;""Designator"";""Footprint"";""Quantity"";""Designation"";""Supplier and ref"";",,,,,,,,,,,,,,,,,,,,,,,
"1;""C41",C29,C38,C34,C30,C35,C13,C44,C40,C36,C10,C9,C21,C31,C39,C32,C33,C37,C43,C11,C14,C8,C17,"C42"";""C_0402_1005Metric"";24;""100n"";;;"
"2;""R6",R8,R10,"R12"";""R_0402_1005Metric"";4;""10K"";;;",,,,,,,,,,,,,,,,,,,,
"3;""C16","C28"";""C_0603_1608Metric"";2;""4.7u"";;;",,,,,,,,,,,,,,,,,,,,,,
"4;""C5",C6,C7,"C20"";""C_0402_1005Metric"";4;""2.2u"";;;",,,,,,,,,,,,,,,,,,,,
"5;""C19",C46,C18,"C47"";""C_0603_1608Metric"";4;""1u"";;;",,,,,,,,,,,,,,,,,,,,
"6;""C4","C3"";""C_0805_2012Metric"";2;""22U"";;;",,,,,,,,,,,,,,,,,,,,,,
"7;""J7",J9,"J10"";""RJ45_Molex_0855135013_Vertical"";3;""RJ45"";;;",,,,,,,,,,,,,,,,,,,,,
"8;""R2",R5,R1,R7,R4,"R3"";""R_0402_1005Metric"";6;""10k"";;;",,,,,,,,,,,,,,,,,,
"9;""J13",J12,"J4"";""PinSocket_1x02_P2.54mm_Vertical"";3;""Conn_01x02_Socket"";;;",,,,,,,,,,,,,,,,,,,,,
"10;""U1"";""LQFP-64_10x10mm_P0.5mm"";1;""STM32F411RCTx"";;;",,,,,,,,,,,,,,,,,,,,,,,
"11;""U5"";""W25M512JVFIQ"";1;""~"";;;",,,,,,,,,,,,,,,,,,,,,,,
"12;""R14",R15,"R13"";""R_0402_1005Metric"";3;""4K7"";;;",,,,,,,,,,,,,,,,,,,,,
"13;""U2"";""LQFP-176_24x24mm_P0.5mm"";1;""STM32F469IITx"";;;",,,,,,,,,,,,,,,,,,,,,,,
"14;""U3"";""SOT-223-3_TabPin2"";1;""AMS1117-3.3"";;;",,,,,,,,,,,,,,,,,,,,,,,
"15;""Y1"";""Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering"";1;""26MHz"";;;",,,,,,,,,,,,,,,,,,,,,,,
"16;""C2","C1"";""C_0402_1005Metric"";2;""0.1uF"";;;",,,,,,,,,,,,,,,,,,,,,,
"17;""J5"";""PinSocket_1x04_P2.54mm_Vertical"";1;""Conn_01x04_Pin"";;;",,,,,,,,,,,,,,,,,,,,,,,
"18;""JTAG2","JTAG1"";""IDC-Header_2x10_P2.54mm_Vertical"";2;""Conn_02x10_Odd_Even"";;;",,,,,,,,,,,,,,,,,,,,,,
"19;""J2"";""IDC-Header_2x20_P2.54mm_Vertical"";1;""Conn_02x20_Odd_Even"";;;",,,,,,,,,,,,,,,,,,,,,,,
"20;""J1",J3,"J6"";""PinSocket_1x04_P2.54mm_Vertical"";3;""Conn_01x04_Socket"";;;",,,,,,,,,,,,,,,,,,,,,
"21;""J8"";""PinSocket_1x05_P2.54mm_Vertical"";1;""Conn_01x05_Socket"";;;",,,,,,,,,,,,,,,,,,,,,,,
"22;""U4"";""ESP-12E"";1;""ESP-12E"";;;",,,,,,,,,,,,,,,,,,,,,,,
"23;""C15","C12"";""C_0402_1005Metric"";2;""10p"";;;",,,,,,,,,,,,,,,,,,,,,,
"24;""SW3"";""SW_Slide_SPDT_Straight_CK_OS102011MS2Q"";1;""PDR_ON SWT"";;;",,,,,,,,,,,,,,,,,,,,,,,
"25;""R11"";""R_0402_1005Metric"";1;""1K5"";;;",,,,,,,,,,,,,,,,,,,,,,,
"26;""J11"";""PinHeader_1x2_P2.54mm_Drill1.02mm"";1;""22-23-2021"";;;",,,,,,,,,,,,,,,,,,,,,,,
"27;""FB1","FB2"";""L_0603_1608Metric"";2;""120R"";;;",,,,,,,,,,,,,,,,,,,,,,
"28;""D2"";""LED_0603_1608Metric"";1;""LED"";;;",,,,,,,,,,,,,,,,,,,,,,,
"29;""SW2","SW6"";""SW_Slide_SPDT_Straight_CK_OS102011MS2Q"";2;""NRST_SWT"";;;",,,,,,,,,,,,,,,,,,,,,,
"30;""SW4"";""SW_Slide_SPDT_Straight_CK_OS102011MS2Q"";1;""BYPASS_REG SWT"";;;",,,,,,,,,,,,,,,,,,,,,,,
"31;""SW8","SW1"";""SW_Slide_SPDT_Straight_CK_OS102011MS2Q"";2;""BOOT0_SWT"";;;",,,,,,,,,,,,,,,,,,,,,,
"32;""SW5"";""SW_Slide_SPDT_Straight_CK_OS102011MS2Q"";1;""FLASH_BOOT | UART SWT"";;;",,,,,,,,,,,,,,,,,,,,,,,
"33;""SW7"";""SW_Slide_SPDT_Straight_CK_OS102011MS2Q"";1;""BL_SWT"";;;",,,,,,,,,,,,,,,,,,,,,,,
